blue team,red team,result,game time,blue gold,red gold
Evil Geniuses,Cloud9,Victory,45:30,80.3,77.4
Cloud9,Evil Geniuses,Defeat,37:29,63.4,69
Team Liquid,TSM,Victory,32:02,64.2,57.6
Cloud9,Golden Guardians,Victory,33:19,65.3,54.8
100 Thieves,Evil Geniuses,Victory,29:33,53.4,47.4
TSM,FlyQuest,Defeat,36:10,67.4,69.2
Cloud9,Evil Geniuses,Victory,34:25,62.3,57.1
Golden Guardians,FlyQuest,Defeat,37:04,60.8,65
Cloud9,Golden Guardians,Victory,28:38,58.1,45
FlyQuest,Evil Geniuses,Defeat,33:03,50.4,57.1
Evil Geniuses,100 Thieves,Victory,30:35,66.1,44.4
Team Liquid,100 Thieves,Defeat,39:31,65.9,75.6
Team Liquid,CLG,Defeat,26:10,43.7,53.5
FlyQuest,Evil Geniuses,Defeat,30:29,49.5,60
FlyQuest,Evil Geniuses,Victory,51:13,95.1,94.5
100 Thieves,Evil Geniuses,Victory,33:23,68.5,52.1
Dignitas,Golden Guardians,Defeat,38:49,69.4,71
CLG,Team Liquid,Victory,41:10,75.6,67.5
FlyQuest,Evil Geniuses,Defeat,38:33,60.3,72.4
Evil Geniuses,100 Thieves,Defeat,30:28,49.3,58.8
Cloud9,FlyQuest,Victory,29:39,58.7,48.2
Team Liquid,CLG,Victory,29:03,58.2,46.5
FlyQuest,Evil Geniuses,Defeat,34:29,54.6,66.8
Cloud9,100 Thieves,Victory,27:42,54,43
CLG,Team Liquid,Defeat,23:46,34.9,46.3
100 Thieves,Cloud9,Defeat,24:54,38.6,50
CLG,Team Liquid,Defeat,30:37,47.2,59.4
100 Thieves,Cloud9,Defeat,30:01,46.2,59.6
Evil Geniuses,TSM,Defeat,46:24,78.7,83.5
Evil Geniuses,TSM,Victory,36:28,68.3,58.4
TSM,Evil Geniuses,Defeat,33:59,52.1,63.1
Evil Geniuses,TSM,Defeat,28:60,44.5,57.2
Evil Geniuses,TSM,Victory,42:32,73.8,67.2
100 Thieves,Dignitas,Defeat,36:51,61,64.3
Dignitas,100 Thieves,Victory,28:14,54.2,42.7
Team Liquid,FlyQuest,Victory,30:09,60.2,46.9
FlyQuest,Team Liquid,Defeat,29:34,47.2,61
Team Liquid,Dignitas,Defeat,43:08,71.1,77.6
Team Liquid,FlyQuest,Defeat,39:29,64.9,77.2
TSM,100 Thieves,Defeat,26:35,38.3,55.2
Cloud9,Evil Geniuses,Defeat,45:11,76.7,81.5
Evil Geniuses,Golden Guardians,Victory,32:36,66.4,48.8
Golden Guardians,Evil Geniuses,Defeat,27:14,42.3,53.8
Team Liquid,Dignitas,Victory,33:23,69.1,58.8
Dignitas,Team Liquid,Defeat,35:30,58.9,68.1
Team Liquid,FlyQuest,Victory,26:33,58.7,40.3
Cloud9,Golden Guardians,Victory,34:39,64.4,58.1
Golden Guardians,FlyQuest,Defeat,28:40,42.9,55.3
100 Thieves,TSM,Victory,35:11,65.8,59.3
Cloud9,CLG,Victory,31:12,62.2,50.6
CLG,Cloud9,Victory,36:33,72.1,60.1
Dignitas,Team Liquid,Defeat,33:56,55.2,65
Evil Geniuses,Cloud9,Victory,26:14,53.8,42.5
FlyQuest,Team Liquid,Defeat,30:48,48.2,57.4
FlyQuest,TSM,Defeat,50:07,80.5,92.6
Immortals,Team Liquid,Defeat,25:21,36.6,52.2
Dignitas,CLG,Defeat,30:35,45.9,61
Cloud9,CLG,Victory,29:24,58.8,46.8
Cloud9,Evil Geniuses,Defeat,29:41,45.6,56.7
Cloud9,Evil Geniuses,Defeat,29:46,52.4,53.1
FlyQuest,Team Liquid,Defeat,24:50,37,52.7
Cloud9,CLG,Victory,33:01,66.7,54.5
100 Thieves,Golden Guardians,Victory,32:56,67.2,52.5
Cloud9,FlyQuest,Victory,35:49,71.7,61
Cloud9,Golden Guardians,Defeat,29:29,45.7,55.4
Team Liquid,Dignitas,Victory,25:26,51.6,39
Evil Geniuses,Team Liquid,Defeat,26:24,43.3,53.4
Evil Geniuses,Team Liquid,Defeat,34:03,55.3,67.5
CLG,Cloud9,Victory,44:20,85.8,76
Dignitas,Team Liquid,Defeat,25:23,38.3,49.9
Evil Geniuses,100 Thieves,Victory,31:01,60,50.8
TSM,CLG,Defeat,33:09,55.6,66.1
Team Liquid,Evil Geniuses,Victory,30:52,57,49.7
Cloud9,CLG,Victory,32:49,61,55.2
CLG,Immortals,Victory,24:19,49.6,38
FlyQuest,Immortals,Defeat,34:21,60.9,63.4
100 Thieves,Dignitas,Victory,37:15,72.3,59.4
CLG,Cloud9,Victory,31:44,61,49.8
Team Liquid,Evil Geniuses,Defeat,40:59,70.9,75
Immortals,Dignitas,Defeat,37:52,64.2,66.5
FlyQuest,Evil Geniuses,Defeat,35:57,61.4,75.2
Cloud9,CLG,Victory,37:10,69.7,64.1
CLG,Evil Geniuses,Defeat,24:03,35.2,51.4
Team Liquid,Cloud9,Victory,30:38,57.9,50.2
FlyQuest,TSM,Defeat,31:28,48.2,62.8
FlyQuest,TSM,Victory,26:39,51.2,41.3
FlyQuest,100 Thieves,Victory,33:21,63.4,53.9
Golden Guardians,CLG,Defeat,31:54,53,60.6
TSM,FlyQuest,Defeat,26:37,43.2,56.8
